State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Gujarat,Ahmedabad,1NewfangledMiniplexMondealRetailPark,Hindi,09:00,VipClub,300₹,10,5
Gujarat,Ahmedabad,1NewfangledMiniplexMondealRetailPark,Hindi,09:00,Premium,300₹,10,3
Gujarat,Ahmedabad,2NewfangledMiniplexMoteraAhmedabad,Hindi,09:00,CoupleSeat,300₹,11,3
Gujarat,Ahmedabad,CityGoldBopal,Hindi,09:45,Executive,150₹,117,30
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:45,Royale,150₹,18,11
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:45,Club,130₹,89,17
Rajasthan,Jaipur,InoxElementsMallAjmerRoad,Hindi,09:45,Executive,130₹,13,1
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,10:00,RoyaleRecliners,330₹,10,4
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,10:00,Royale,200₹,70,13
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,10:00,Club,180₹,93,2
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,10:00,Executive,160₹,36,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,10:00,Normal,160₹,32,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,10:00,Executive,180₹,91,3
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,10:00,Premium,200₹,80,14
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,10:00,Vip,300₹,14,2
Ncr,Noida,PvrSuperplexMallOfIndiaNoida,Hindi,10:00,Prime,285₹,101,68
Ncr,Noida,PvrSuperplexMallOfIndiaNoida,Hindi,10:00,Classic,265₹,106,0
Maharashtra,Mumbai,InoxRCityGhatkopar,Hindi,10:00,Insignia,370₹,46,22
UttarPradesh,Varanasi,JhvCinemasVaranasi,Hindi,10:00,Gold,220₹,42,19
UttarPradesh,Varanasi,JhvCinemasVaranasi,Hindi,10:00,SilverPlus,180₹,219,31
