State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,09:00,RoyaleRecliners,280₹,13,0
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,09:00,Royale,150₹,45,15
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,09:00,Club,140₹,95,0
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,09:00,Executive,110₹,26,0
Maharashtra,Aurangabad,KhinvasaraCineplexApsaraCinemaAurangabad,Hindi,09:00,Diamond,150₹,140,0
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,Hindi,09:10,Insignia,300₹,47,14
Delhi,NationalCapitalRegionNcr,PvrLogixNoida,Hindi,09:10,Classic,280₹,89,4
Gujarat,Surat,InoxDrWorldSurat,Hindi,09:30,Club,112₹,63,3
Gujarat,Surat,InoxDrWorldSurat,Hindi,09:30,Executive,112₹,46,1
Gujarat,Surat,InoxDrWorldSurat,Hindi,09:30,Royal,112₹,83,10
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,11:15,Club,150₹,70,0
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,11:15,Executive,150₹,28,0
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,11:15,Royale,150₹,83,12
Maharashtra,Mumbai,MaxusCinemasSakiNaka,Hindi,11:15,Royal,200₹,37,19
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,Hindi,11:30,Insignia,300₹,38,14
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:00,Special,150₹,38,0
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,12:00,DressCircle,150₹,9,0
Delhi,NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,Hindi,12:00,Classic,210₹,101,5
Delhi,NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,Hindi,12:00,Prime,235₹,13,2
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,12:15,Balcony,40₹,56,0
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,12:15,DressCircle,20₹,60,0
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,12:55,RoyaleRecliners,350₹,10,2
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,12:55,Royale,210₹,70,14
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,12:55,Club,190₹,93,8
Maharashtra,Aurangabad,InoxProzoneMallAurangabad,Hindi,12:55,Executive,170₹,36,0
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,Hindi,13:45,Royale,230₹,59,19
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,Hindi,13:45,Club,210₹,54,0
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,Hindi,13:45,Executive,200₹,20,0
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,15:15,Balcony,40₹,56,0
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,15:15,DressCircle,20₹,60,0
Maharashtra,Mumbai,MaxusCinemasSakiNaka,Hindi,16:45,Royal,250₹,37,24
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,17:00,Special,150₹,38,1
Maharashtra,Mumbai,G7MultiplexBandraW,Hindi,17:00,DressCircle,150₹,9,9
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,18:15,Balcony,40₹,56,0
UttarPradesh,Agra,RajeevCinemaAgra,Hindi,18:15,DressCircle,20₹,60,0
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,19:10,Club,190₹,52,2
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,19:10,Royale,190₹,61,17
UttarPradesh,Lucknow,InoxCrownMallLucknow,Hindi,19:10,Executive,150₹,26,0
