State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,English,18:05,Premium,150₹,123,11
UttarPradesh,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,English,18:05,Classic,150₹,75,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,18:35,Normal,110₹,32,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,18:35,Executive,110₹,96,7
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,18:35,Premium,110₹,46,29
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,English,18:35,Platinum,170₹,26,9
Maharashtra,Mumbai,CinepolisVivianaMallThane,English,18:45,Normal,150₹,27,0
Maharashtra,Mumbai,CinepolisVivianaMallThane,English,18:45,Executive,150₹,104,0
Maharashtra,Mumbai,CinepolisVivianaMallThane,English,18:45,Premium,150₹,46,3
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,18:55,Normal,150₹,21,2
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,18:55,Executive,150₹,59,5
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,18:55,Premium,150₹,45,10
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,21:25,Normal,110₹,22,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,21:25,Executive,110₹,64,0
WestBengal,Kolkata,CinepolisAcropolisMallKolkata,English,21:25,Premium,110₹,38,18
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,21:30,Normal,150₹,24,0
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,21:30,Premium,150₹,41,13
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,21:30,Executive,150₹,81,1
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,21:35,Normal,150₹,23,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,21:35,Executive,150₹,52,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,21:35,Premium,150₹,44,1
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,21:35,Vip,500₹,9,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,English,21:35,Normal,150₹,60,0
MadhyaPradesh,Bhopal,CinepolisDbMallBhopal,English,21:35,Executive,150₹,106,5
UttarPradesh,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,English,22:30,Normal,150₹,42,0
UttarPradesh,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,English,22:30,Executive,150₹,59,3
UttarPradesh,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,English,22:30,Premium,150₹,45,9
UttarPradesh,NationalCapitalRegionNcr,CinepolisDlfAvenueSaket,English,22:30,Vip,300₹,10,1
