State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Baruipur,CinepolisLakeMallKolkata,English,09:10,Normal,160₹,40,0
WestBengal,Baruipur,CinepolisLakeMallKolkata,English,09:10,Executive,160₹,168,3
WestBengal,Baruipur,CinepolisLakeMallKolkata,English,09:10,Premium,160₹,46,28
WestBengal,Baruipur,CinepolisLakeMallKolkata,English,09:10,Vip,350₹,10,0
WestBengal,Kolkata,InoxSouthCityKolkata,English,09:10,RoyalRecliner,350₹,16,0
WestBengal,Kolkata,InoxSouthCityKolkata,English,09:10,Premier,180₹,32,0
WestBengal,Kolkata,InoxSouthCityKolkata,English,09:10,Silver,180₹,165,22
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:15,Club,190₹,157,16
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Tamil,09:15,Executive,60₹,19,12
Maharashtra,Mumbai,MovietimeTheHubGoregaon,Hindi,09:45,Gold,120₹,196,26
Karnataka,Bengaluru,CinepolisVipLuluGlobalMallBengaluru,English,09:50,Executive,500₹,36,0
Karnataka,Bengaluru,CinepolisVipLuluGlobalMallBengaluru,English,09:50,Premium,550₹,48,8
Maharashtra,Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,English,10:00,Normal,300₹,108,76
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:00,Classic,112₹,30,0
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:00,Prime,130₹,79,1
Chhattisgarh,Bhilai,PvrTreasureIslandBhilai,Hindi,10:00,PrimePlus,210₹,41,0
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,10:05,Club,300₹,16,4
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,10:05,Royal,300₹,64,21
Gujarat,Ahmedabad,BananaSmartplexAhmedabad,English,10:05,Premium,170₹,83,2
Haryana,NationalCapitalRegionNcr,PvrEcxMallOfIndiaNoida,English,10:05,Classic,350₹,179,0
Haryana,NationalCapitalRegionNcr,PvrEcxMallOfIndiaNoida,English,10:05,Prime,375₹,131,8
Kerala,Kochi,CinepolisCentreSquareMallKochi,English,10:05,Normal,110₹,26,3
Kerala,Kochi,CinepolisCentreSquareMallKochi,English,10:05,Executive,140₹,39,1
Kerala,Kochi,CinepolisCentreSquareMallKochi,English,10:05,Premium,160₹,86,16
WestBengal,Kolkata,PvrManiSquareMallKolkata,English,10:15,Classic,140₹,80,0
WestBengal,Kolkata,PvrManiSquareMallKolkata,English,10:15,Prime,170₹,172,4
WestBengal,Kolkata,PvrManiSquareMallKolkata,English,10:15,Recliner,420₹,15,7
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagar4DxDelhi,Hindi,10:15,Classic,450₹,36,2
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagar4DxDelhi,Hindi,10:15,Prime,500₹,72,4
Haryana,NationalCapitalRegionNcr,PvrVegas4DxDwarka,Hindi,10:15,Classic,390₹,84,19
Haryana,NationalCapitalRegionNcr,PvrVegas4DxDwarka,Hindi,10:15,Prime,450₹,24,0
Maharashtra,Mumbai,PvrIconLuxeInfinitiAndheriWMumbai,English,10:15,Luxe,520₹,51,51
Maharashtra,Mumbai,PvrIconLuxeInfinitiAndheriWMumbai,English,10:15,DboxLuxe,520₹,33,33
TamilNadu,Chennai,SpiPalazzoNexusVijayaMallVadapalaniChennai,English,10:20,Imax,300₹,442,70
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,English,10:25,Premium,200₹,123,8
Haryana,NationalCapitalRegionNcr,CinepolisModiMallFormerlySpiceMall,English,10:25,Classic,190₹,75,2
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,English,10:25,Normal,140₹,29,0
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,English,10:25,Executive,150₹,78,3
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,English,10:25,Premium,160₹,54,5
UttarPradesh,Lucknow,CinepolisOneAwadhCentreLucknow,English,10:25,Vip,450₹,19,6
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,10:30,Normal,160₹,24,0
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,10:30,Premium,160₹,41,20
Gujarat,Vadodara,CinepolisInorbitVadodaraMall,English,10:30,Executive,160₹,81,12
Haryana,NationalCapitalRegionNcr,MovieMaxGulshanNoida,English,10:30,MaxRecliner,290₹,16,4
Haryana,NationalCapitalRegionNcr,MovieMaxGulshanNoida,English,10:30,Executive,200₹,54,5
Haryana,NationalCapitalRegionNcr,MovieMaxGulshanNoida,English,10:30,Prime,160₹,96,0
Haryana,NationalCapitalRegionNcr,MovieMaxGulshanNoida,English,10:30,Club,160₹,32,0
