City,Name,Language,Time,Type,Price,Capacity,Booked
Aurangabad,InoxTapadiaAurangabad,Hindi,09:25,Premiere,80₹,37,0
Aurangabad,InoxTapadiaAurangabad,Hindi,09:25,Silver,80₹,182,14
Kanpur,DeokiTalkiesKakadeo,Hindi,09:30,Balcony,80₹,20,2
Kanpur,DeokiTalkiesKakadeo,Hindi,09:30,DressCircle,50₹,20,0
Jammu,ApsaraMultiplexJammu,Hindi,10:00,Balcony,200₹,40,10
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,10:30,GoldClass,100₹,149,0
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,10:30,SilverClass,100₹,200,0
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,10:45,Balcony,138₹,122,0
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,10:45,FirstClass,95₹,93,0
Kolkata,RupmandirCinemaBelgharia,Hindi,11:00,Gold,80₹,16,8
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,11:00,Balcony,150₹,230,0
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,11:00,FirstClass,100₹,294,0
Mahbubnagar,SriKrishnaTheatreMahbubnagar,Hindi,11:00,Balcony,100₹,192,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,11:00,Royal,106₹,34,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,11:00,Club,94₹,112,0
Jamnagar,InoxCrystalMallJamnagar,Hindi,11:00,Executive,94₹,20,0
Patna,CinepolisPMMallPatna,Hindi,12:00,Normal,230₹,200,38
Jaipur,InoxGtCentralMallJaipur,Hindi,12:10,Insignia,500₹,25,2
Kanpur,DeokiTalkiesKakadeo,Hindi,12:30,Balcony,80₹,20,0
Kanpur,DeokiTalkiesKakadeo,Hindi,12:30,DressCircle,50₹,20,0
Mumbai,MetroInoxCinemasMarineLines,Hindi,12:35,Club,200₹,129,4
Mumbai,MetroInoxCinemasMarineLines,Hindi,12:35,Royale,200₹,92,11
Mumbai,MetroInoxCinemasMarineLines,Hindi,12:35,Executive,180₹,30,0
Gandhinagar,InoxGandhinagarR21,Hindi,12:45,Platinum,106₹,10,4
Gandhinagar,InoxGandhinagarR21,Hindi,12:45,Gold,94₹,74,4
Gandhinagar,InoxGandhinagarR21,Hindi,12:45,Silver,94₹,17,0
NationalCapitalRegionNcr,DhishoomCinemasMall51Sector51Gurugram,Hindi,13:00,Platinum,276₹,35,0
NationalCapitalRegionNcr,DhishoomCinemasMall51Sector51Gurugram,Hindi,13:00,PlatinumSuperior,276₹,15,10
NationalCapitalRegionNcr,WaveNoida,Hindi,13:00,Classic,250₹,206,24
Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,Hindi,13:00,Prime,600₹,12,1
Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,Hindi,13:00,PrimePlus,600₹,30,6
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,Hindi,13:05,Classic,185₹,106,19
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,Hindi,13:05,Prime,215₹,13,4
Hyderabad,TivoliCinemasSecunderabad,Hindi,13:10,Gold,200₹,56,1
Bhavnagar,Top3MultiplexBhavnagar,Hindi,13:30,Gold,120₹,68,0
Bhavnagar,Top3MultiplexBhavnagar,Hindi,13:30,Silver,100₹,56,0
Pune,InoxElproCitySquareChinchwad,Hindi,13:35,Royale,180₹,79,43
Pune,InoxElproCitySquareChinchwad,Hindi,13:35,Club,160₹,85,14
Pune,InoxElproCitySquareChinchwad,Hindi,13:35,Executive,130₹,34,7
Bareilly,PvrPhoenixUnitedBareilly,Hindi,13:40,Classic,200₹,112,0
Bareilly,PvrPhoenixUnitedBareilly,Hindi,13:40,Prime,220₹,100,46
Bareilly,PvrPhoenixUnitedBareilly,Hindi,13:40,Recliner,400₹,14,4
Kolkata,SvfCinemasWoodSquareMallNarendrapur,Hindi,13:40,Gold,112₹,36,0
Kolkata,SvfCinemasWoodSquareMallNarendrapur,Hindi,13:40,Platinum,112₹,85,5
Kolkata,SvfCinemasWoodSquareMallNarendrapur,Hindi,13:40,Royal,199₹,15,4
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,14:00,Balcony,150₹,230,2
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,14:00,FirstClass,100₹,294,0
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,14:00,Balcony,138₹,122,0
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,14:00,FirstClass,95₹,93,0
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,14:00,GoldClass,100₹,149,0
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,14:00,SilverClass,100₹,200,0
Mumbai,PvrCitiMallAndheriW,Hindi,14:00,Classic,105₹,46,6
Mumbai,PvrCitiMallAndheriW,Hindi,14:00,Prime,140₹,146,32
Mumbai,PvrCitiMallAndheriW,Hindi,14:00,Recliner,295₹,24,11
Mahbubnagar,SriKrishnaTheatreMahbubnagar,Hindi,14:15,Balcony,100₹,192,0
Surat,InoxDrWorldSurat,Hindi,14:30,Executive,129₹,105,15
Bengaluru,CinepolisForumShantiniketanBengaluru,Hindi,14:30,Normal,150₹,24,0
Bengaluru,CinepolisForumShantiniketanBengaluru,Hindi,14:30,Executive,170₹,24,7
Bengaluru,CinepolisForumShantiniketanBengaluru,Hindi,14:30,Premium,180₹,80,55
Bengaluru,CinepolisForumShantiniketanBengaluru,Hindi,14:30,Vip,350₹,10,9
Gwalior,InoxDbMallGwalior,Hindi,14:50,Royale,193₹,66,12
Gwalior,InoxDbMallGwalior,Hindi,14:50,Club,184₹,55,0
Gwalior,InoxDbMallGwalior,Hindi,14:50,Executive,157₹,22,0
Bengaluru,PvrVegaCityBannerghattaRoad,Hindi,14:50,Classic,157₹,86,58
Bengaluru,PvrVegaCityBannerghattaRoad,Hindi,14:50,Recliner,258₹,9,9
Surat,InoxVrMallSurat,Hindi,15:00,RoyalRecliner,304₹,12,10
Surat,InoxVrMallSurat,Hindi,15:00,Royal,157₹,54,6
Surat,InoxVrMallSurat,Hindi,15:00,Club,138₹,122,4
Surat,InoxVrMallSurat,Hindi,15:00,Executive,129₹,34,0
Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,Hindi,15:15,Luxe,700₹,24,3
Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,Hindi,15:15,LuxeSuperior,700₹,10,5
Mumbai,G7MultiplexBandraW,Hindi,15:15,Special,160₹,38,3
Mumbai,G7MultiplexBandraW,Hindi,15:15,DressCircle,160₹,9,7
Patna,ElphinstoneCinema,Hindi,15:20,DressCircle,200₹,100,42
Hyderabad,InoxGvkOneBanjaraHills,Hindi,15:20,Royal,300₹,9,9
Hyderabad,InoxGvkOneBanjaraHills,Hindi,15:20,Executive,200₹,140,33
Mumbai,CinepolisVivianaMallThane,Hindi,15:20,Normal,180₹,25,0
Mumbai,CinepolisVivianaMallThane,Hindi,15:20,Executive,180₹,97,38
Mumbai,CinepolisVivianaMallThane,Hindi,15:20,Premium,180₹,43,41
Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,15:30,Club,120₹,196,20
Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,15:30,Executive,106₹,42,0
Indore,InoxC21Mall,Hindi,15:30,Normal,120₹,171,21
NationalCapitalRegionNcr,PvrSelectCityWalkGoldDelhi,Hindi,15:30,Platinum,700₹,24,4
NationalCapitalRegionNcr,PvrSelectCityWalkGoldDelhi,Hindi,15:30,PlatinumSuperior,800₹,8,5
Kanpur,DeokiTalkiesKakadeo,Hindi,15:30,Balcony,80₹,20,5
Kanpur,DeokiTalkiesKakadeo,Hindi,15:30,DressCircle,50₹,20,0
Pune,AbhiruchiCityPrideSinhagadRoad,Hindi,15:30,RoyalSofa,250₹,12,9
Pune,AbhiruchiCityPrideSinhagadRoad,Hindi,15:30,RoyalGold,230₹,123,28
Pune,AbhiruchiCityPrideSinhagadRoad,Hindi,15:30,RoyalSilver,200₹,30,0
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Hindi,15:40,Normal,180₹,49,1
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Hindi,15:40,Executive,200₹,94,2
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Hindi,15:40,Premium,220₹,80,35
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,Hindi,15:40,Vip,420₹,14,4
Ahmedabad,RajhansCinemasVastral,Hindi,16:00,Recliner,277₹,17,6
Ahmedabad,RajhansCinemasVastral,Hindi,16:00,Executive,166₹,103,6
Ahmedabad,RajhansCinemasVastral,Hindi,16:00,Royal,147₹,28,0
Ahmedabad,RajhansCinemasVastral,Hindi,16:00,Marvel,129₹,24,0
NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,16:00,Prime,380₹,88,64
NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,Hindi,16:00,Classic,340₹,52,8
Ahmedabad,WideAngleAhmedabad,Hindi,16:00,Silver,129₹,76,0
Ahmedabad,WideAngleAhmedabad,Hindi,16:00,Gold,129₹,104,49
NationalCapitalRegionNcr,PvrLogixNoida,Hindi,16:05,Classic,250₹,80,53
AshoknagarWestBengal,NatarajCinemaAshoknagar,Hindi,16:15,FirstClass,30₹,50,2
Hyderabad,PvrNextGalleriaMallPanjagutta,Hindi,16:15,Classic,200₹,144,26
Pune,CinepolisWestendMallAundhPune,Hindi,16:20,Normal,350₹,25,2
Pune,CinepolisWestendMallAundhPune,Hindi,16:20,Executive,350₹,82,17
Pune,CinepolisWestendMallAundhPune,Hindi,16:20,Premium,350₹,49,21
Chandigarh,PvrElanteChandigarh,Hindi,16:30,Classic,152₹,153,31
Chandigarh,PvrElanteChandigarh,Hindi,16:30,Recliner,468₹,13,8
Bhopal,CinepolisAashimaMallBhopal,Hindi,16:30,Normal,120₹,30,0
Bhopal,CinepolisAashimaMallBhopal,Hindi,16:30,Executive,120₹,102,0
Bhopal,CinepolisAashimaMallBhopal,Hindi,16:30,Premium,120₹,83,36
Saharanpur,MirajCinemasSaharanpurUttarPradesh,Hindi,16:30,Special,100₹,128,0
Saharanpur,MirajCinemasSaharanpurUttarPradesh,Hindi,16:30,Executive,100₹,142,0
Pune,PvrPhoenixMarketCityGoldPune,Hindi,16:30,GoldClassic,580₹,24,0
Pune,PvrPhoenixMarketCityGoldPune,Hindi,16:30,GoldPrime,580₹,22,2
Pune,CityPrideKothrud,Hindi,16:45,RoyalSofa,330₹,13,12
Pune,CityPrideKothrud,Hindi,16:45,RoyalGold,280₹,76,45
Pune,CityPrideKothrud,Hindi,16:45,RoyalSilver,260₹,22,0
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,17:00,GoldClass,100₹,149,0
Bengaluru,SriGurusiddeshwara2KChitraMandiraThippasandra,Hindi,17:00,SilverClass,100₹,200,0
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,17:45,Balcony,138₹,122,1
Shivamogga,ManjunathaDigital2KCinemaShivamogga,Hindi,17:45,FirstClass,95₹,93,0
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,18:00,Balcony,150₹,230,4
Hyderabad,Saptagiri70Mm4KDolbyDigitalRtcXRoads,Hindi,18:00,FirstClass,100₹,294,2
Mahbubnagar,SriKrishnaTheatreMahbubnagar,Hindi,18:00,Balcony,100₹,192,0
Mumbai,MetroInoxCinemasMarineLines,Hindi,18:00,Insignia,700₹,47,5
Kanpur,DeokiTalkiesKakadeo,Hindi,18:15,Balcony,80₹,20,2
Kanpur,DeokiTalkiesKakadeo,Hindi,18:15,DressCircle,50₹,20,0
Mumbai,MovietimeTheHubGoregaon,Hindi,18:15,Gold,150₹,196,39
Kolhapur,RoyalCinemaKolhapur,Hindi,18:30,Balcony,100₹,75,0
Kolhapur,RoyalCinemaKolhapur,Hindi,18:30,DressCircle,90₹,85,0
Kolhapur,RoyalCinemaKolhapur,Hindi,18:30,Stall,70₹,85,0
Mumbai,G7MultiplexBandraW,Hindi,18:30,Special,160₹,38,10
