State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,12:30,Balcony,₹100,125,2
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,12:30,Gold,₹80,88,6
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,12:30,Silver,₹70,141,26
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,15:30,Balcony,₹100,125,2
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,15:30,Gold,₹80,88,10
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,15:30,Silver,₹70,141,34
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,18:30,Balcony,₹100,125,7
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,18:30,Gold,₹80,88,13
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,18:30,Silver,₹70,141,18
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,21:30,Balcony,₹100,125,3
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,21:30,Gold,₹80,88,4
Maharashtra,Mumbai,NishatCinemaGrantRoad,Hindi,21:30,Silver,₹70,141,18
