State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Goa,Goa,InoxOldGmcDbRoadPanaji,English,18:00,Royal,210₹,85,19
Goa,Goa,InoxOldGmcDbRoadPanaji,English,18:00,Club,190₹,90,1
Goa,Goa,InoxOldGmcDbRoadPanaji,English,18:00,Executive,170₹,36,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,English,18:15,Couple,299₹,26,0
Maharashtra,Mumbai,MaxusCinemasBorivaliW,English,18:15,Recliner,299₹,42,5
Maharashtra,Mumbai,MirajDattaniCinemasVasai,English,18:30,Bronze,70₹,32,1
Maharashtra,Mumbai,MirajDattaniCinemasVasai,English,18:30,Silver,120₹,191,11
Maharashtra,Mumbai,MirajDattaniCinemasVasai,English,18:30,Gold,120₹,16,4
Maharashtra,Mumbai,MirajDattaniCinemasVasai,English,18:30,Platinum,200₹,11,1
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,English,18:50,Classic,160₹,36,0
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,English,18:50,Prime,180₹,180,22
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,English,18:50,Recliner,310₹,17,4
WestBengal,Kolkata,CinepolisLakeMallKolkata,English,18:55,Normal,170₹,22,0
WestBengal,Kolkata,CinepolisLakeMallKolkata,English,18:55,Executive,170₹,55,34
WestBengal,Kolkata,CinepolisLakeMallKolkata,English,18:55,Premium,170₹,32,31
Karnataka,Bengaluru,PvrVegaCityBannerghattaRoad,English,18:55,Classic,260₹,152,138
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,English,19:00,Recliner,650₹,38,25
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,English,19:00,PrimePlus,450₹,44,32
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,English,19:00,Prime,450₹,100,16
Haryana,NationalCapitalRegionNcr,PvrPacificSubhashNagarDelhi,English,19:00,Classic,420₹,40,3
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,19:00,Normal,220₹,26,3
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,19:00,Executive,240₹,60,31
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,19:00,Premium,260₹,47,38
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,19:00,Vip,500₹,11,11
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,English,19:00,Royale,230₹,59,28
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,English,19:00,Club,210₹,108,10
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,English,19:00,Executive,190₹,36,0
Maharashtra,Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,English,19:00,Normal,200₹,32,0
Maharashtra,Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,English,19:00,Executive,220₹,91,7
Maharashtra,Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,English,19:00,Premium,240₹,80,31
Maharashtra,Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,English,19:00,Vip,440₹,14,14
Karnataka,Bengaluru,PvrGoldVrBengaluruWhitefieldRoad,English,19:00,Gold,650₹,21,5
Karnataka,Bengaluru,PvrGoldVrBengaluruWhitefieldRoad,English,19:00,GoldPrime,750₹,7,2
Chandigarh,Chandigarh,PvrElanteChandigarh,English,19:00,Classic,180₹,153,27
Chandigarh,Chandigarh,PvrElanteChandigarh,English,19:00,Recliner,550₹,13,2
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,19:05,Royal,280₹,35,32
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,19:05,Club,260₹,116,79
