State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Vadakara,AshokCncAC4K3DDolbyVadakaraCalicut,Malayalam,11:00,Platinum,129₹,120,0
Kerala,Palakkad,NewAromaTheatrePalakkad,Malayalam,11:00,PlatinumCircle,115₹,200,5
Kerala,Palakkad,NewAromaTheatrePalakkad,Malayalam,11:00,DiamondCircle,100₹,229,0
Kerala,Kollam,GmaxCinemasJerome,Malayalam,11:00,Blue,160₹,170,20
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,11:10,Normal,180₹,27,4
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,11:10,Executive,200₹,78,8
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,11:10,Premium,220₹,41,0
Kerala,Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,11:15,Elite,150₹,200,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,12:40,Classic,110₹,36,1
Kerala,Kochi,PvrOberonMallKochi,Malayalam,12:40,ClassicPlus,140₹,81,8
Kerala,Payyanur,ShanthiCinemasPayyanur,Malayalam,13:30,Platinum,130₹,443,50
Kerala,Kollam,GmaxCinemas3D71JblKollam,Malayalam,14:15,Blue,160₹,170,22
Kerala,Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,14:30,Elite,150₹,200,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,15:00,RoyalRecliner,290₹,10,2
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,15:00,Club,170₹,63,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,15:00,Royal,170₹,28,18
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,15:00,Executive,130₹,22,1
Kerala,Kochi,PvrLuluKochi,Malayalam,16:00,Classic,110₹,39,0
Kerala,Kochi,PvrLuluKochi,Malayalam,16:00,ClassicPlus,140₹,91,10
Kerala,Kochi,PvrLuluKochi,Malayalam,16:00,Prime,160₹,64,20
Kerala,Kochi,PvrLuluKochi,Malayalam,16:00,Recliner,300₹,9,4
Kerala,Vadakara,AshokCncAC4K3DDolbyVadakaraCalicut,Malayalam,17:00,Platinum,129₹,120,0
Kerala,Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,18:15,Elite,150₹,200,4
Kerala,Kochi,PvrLuluGoldKochi,Malayalam,18:20,Gold,450₹,54,54
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,18:25,Classic,190₹,77,2
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,18:25,Prime,220₹,60,2
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,18:25,Recliner,400₹,7,0
Kerala,Kollam,GmaxCinemas3D71JblKollam,Malayalam,18:30,Blue,180₹,170,18
Kerala,Payyanur,ShanthiCinemasPayyanur,Malayalam,19:30,Platinum,130₹,443,61
Kerala,Trivandrum,NewTheatre4KRgbLaserDolbyAtmosThampanoor,Malayalam,21:30,Elite,150₹,200,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:30,RoyalRecliner,290₹,10,5
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:30,Club,170₹,63,0
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:30,Royal,170₹,28,18
Kerala,Thrissur,InoxSobhaCityMall,Malayalam,21:30,Executive,130₹,22,0
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,21:45,Normal,180₹,27,4
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,21:45,Executive,200₹,78,10
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,21:45,Premium,220₹,41,2
Kerala,Kollam,GmaxCinemasKollam,Malayalam,21:45,Blue,180₹,170,18
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,22:00,Classic,190₹,65,2
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,22:00,Prime,220₹,34,6
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,22:00,Recliner,400₹,8,0
Kerala,Kochi,PvrOberonMallKochi,Malayalam,22:20,Classic,129₹,36,2
Kerala,Kochi,PvrOberonMallKochi,Malayalam,22:20,ClassicPlus,160₹,81,16
