State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,10:30,Normal,160₹,40,0
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,10:30,Executive,180₹,172,12
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,10:30,Premium,200₹,51,1
Maharashtra,Pune,CinepolisNexusWestendMallAundhPune,English,10:30,Vip,300₹,20,18
Karnataka,Bengaluru,PvrTheForumMallKoramangala,English,11:20,Classic,170₹,207,10
Karnataka,Bengaluru,PvrTheForumMallKoramangala,English,11:20,Prime,200₹,118,4
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,11:30,Classic,160₹,57,6
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,11:30,Prime,250₹,329,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,11:30,Recliner,300₹,16,0
Karnataka,Bengaluru,Pvr4DxPhoenixMarketcityMallWhitefieldRoad,English,11:40,Classic,230₹,100,4
Maharashtra,Mumbai,MaisonPvrTheLoftLuxeJioWorldDriveBkc,English,11:45,Platinum,300₹,33,4
UttarPradesh,NationalCapitalRegionNcr,DhishoomCinemasMallFiftyOneGurgaon,English,11:45,Platinum,499₹,21,0
UttarPradesh,NationalCapitalRegionNcr,DhishoomCinemasMallFiftyOneGurgaon,English,11:45,PlatinumSuperior,499₹,15,0
Maharashtra,Pune,InoxBundGardenRoad,English,11:55,Royale,200₹,34,0
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,English,12:10,Insignia,420₹,47,8
UttarPradesh,NationalCapitalRegionNcr,PvrDirectorSCutGurugramAmbienceMall,English,12:45,Platinum,500₹,40,0
UttarPradesh,NationalCapitalRegionNcr,PvrDirectorSCutGurugramAmbienceMall,English,12:45,PlatinumSuperior,500₹,17,10
WestBengal,Kolkata,InoxSouthCityKolkata,English,13:10,Silver,320₹,257,24
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,13:15,Royale,270₹,93,14
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,13:15,Club,250₹,160,1
Maharashtra,Mumbai,InoxInsigniaAtAtriaMallWorli,English,13:15,Insignia,470₹,31,4
Maharashtra,Mumbai,CinepolisVipVivianaMallThane,English,13:20,Vip,350₹,74,5
Karnataka,Bengaluru,Pvr4DxOrionMallDrRajkumarRoad,English,13:30,Classic,280₹,96,18
Maharashtra,Mumbai,InoxMegaplexInorbitMallMalad,English,13:45,Insignia,400₹,46,6
AndhraPradesh,Hyderabad,PvrNextGalleriaMallPanjagutta,English,14:00,Classic,150₹,152,17
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,14:45,Normal,200₹,40,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,14:45,Executive,200₹,126,0
Karnataka,Bengaluru,CinepolisNexusShantiniketanBengaluru,English,14:45,Premium,200₹,51,0
Gujarat,Ahmedabad,TimeCinemaCgRoadAhmedabad,English,15:00,Infinity,"1,050₹",8,0
