State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Rajasthan,Ajmer,InoxCitySquareMallAjmer,Multi Language,09:15,Club,₹1,76,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,Multi Language,09:15,Executive,₹1,38,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,Multi Language,09:15,Platinum,₹1,85,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,Multi Language,09:15,Royale,₹1,39,10
Gujarat,Ahmedabad,PvrAcropolisAhmedabad,Multi Language,09:30,Classic,₹1,39,0
Gujarat,Ahmedabad,PvrAcropolisAhmedabad,Multi Language,09:30,Prime,₹1,65,0
Gujarat,Ahmedabad,PvrAcropolisAhmedabad,Multi Language,09:30,PrimePlus,₹1,66,15
Gujarat,Ahmedabad,PvrAcropolisAhmedabad,Multi Language,09:30,Recliner,₹1,9,2
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Multi Language,09:40,Club,₹1,160,0
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Multi Language,09:40,Executive,₹1,80,0
MadhyaPradesh,Indore,InoxSapnaSangeetaMallSnehaNagar,Multi Language,09:40,Royale,₹1,43,8
Ncr,Faridabad,PvrPebbleDowntownSec12Faridabad,Multi Language,09:45,Classic,₹1,64,1
Ncr,Faridabad,PvrPebbleDowntownSec12Faridabad,Multi Language,09:45,Prime,₹1,92,1
Ncr,Delhi,PvrShalimarBagh,Multi Language,09:50,Classic,₹1,133,0
Ncr,Delhi,PvrShalimarBagh,Multi Language,09:50,Prime,₹1,74,19
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Multi Language,09:50,Club,₹1,103,6
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Multi Language,09:50,Executive,₹1,39,0
Rajasthan,Bhiwadi,InoxBhiwadiGenesisMall,Multi Language,09:50,Royale,₹1,51,19
Odisha,Bhubaneswar,InoxDnRegaliaMall,Multi Language,09:50,Club,₹1,40,0
Odisha,Bhubaneswar,InoxDnRegaliaMall,Multi Language,09:50,Executive,₹1,20,0
Odisha,Bhubaneswar,InoxDnRegaliaMall,Multi Language,09:50,Royal,₹1,83,10
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,Multi Language,09:55,Club,₹1,145,14
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,Multi Language,09:55,Executive,₹1,66,0
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,Multi Language,09:55,Royale,₹1,15,0
Jharkhand,Jharkhand,InoxCinemasDhanbad,Multi Language,10:00,Executive,₹1,129,14
Jharkhand,Jharkhand,InoxCinemasDhanbad,Multi Language,10:00,Premier,₹1,39,0
Jharkhand,Jharkhand,InoxCinemasDhanbad,Multi Language,10:00,Silver,₹1,73,0
Odisha,Bhubaneswar,PvrUtkalKanikaGalleriaBhubaneswar,Multi Language,10:00,Classic,₹1,24,0
Odisha,Bhubaneswar,PvrUtkalKanikaGalleriaBhubaneswar,Multi Language,10:00,Prime,₹1,139,14
Odisha,Bhubaneswar,PvrUtkalKanikaGalleriaBhubaneswar,Multi Language,10:00,Recliner,₹1,12,0
MadhyaPradesh,Gwalior,InoxDbMallGwalior,Multi Language,10:05,Club,₹1,72,0
MadhyaPradesh,Gwalior,InoxDbMallGwalior,Multi Language,10:05,Executive,₹1,36,0
MadhyaPradesh,Gwalior,InoxDbMallGwalior,Multi Language,10:05,RoyaleRecliners,₹1,11,4
MadhyaPradesh,Gwalior,InoxDbMallGwalior,Multi Language,10:05,Royale,₹1,94,11
Rajasthan,Ajmer,PvrMittalMallAjmer,Multi Language,10:05,Classic,₹1,26,0
Rajasthan,Ajmer,PvrMittalMallAjmer,Multi Language,10:05,Prime,₹1,122,16
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Multi Language,10:10,Club,₹1,101,7
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Multi Language,10:10,Executive,₹1,30,0
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Multi Language,10:10,RoyaleRecliners,₹1,11,2
Rajasthan,Jaipur,InoxSunnyTradeCenterJaipur,Multi Language,10:10,Royal,₹1,57,17
Chhattisgarh,Raipur,InoxAmbujaCityCentreRaipur,Multi Language,10:10,Club,₹1,192,0
Chhattisgarh,Raipur,InoxAmbujaCityCentreRaipur,Multi Language,10:10,Executive,₹1,36,1
Chhattisgarh,Raipur,InoxAmbujaCityCentreRaipur,Multi Language,10:10,RoyalRecliner,₹1,20,7
Chhattisgarh,Raipur,InoxAmbujaCityCentreRaipur,Multi Language,10:10,Royal,₹1,42,6
WestBengal,Kolkata,InoxForumRangoliMallBelur,Multi Language,10:10,Club,₹1,171,12
