State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,Kalyan,Sm5Kalyan,Malayalam,09:00,Premium,150₹,101,19
Kerala,Kochi,PvrLuluKochi,Malayalam,09:05,Recliner,500₹,56,22
Kerala,Kochi,CinepolisVipCentreSquareMallKochi,Malayalam,09:05,Vip,450₹,76,13
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:05,Recliner,450₹,11,11
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:05,Prime,210₹,120,65
Kerala,Trivandrum,PvrLuluTrivandrum,Malayalam,09:05,Classic,190₹,119,0
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:20,Normal,200₹,38,12
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:20,Executive,220₹,69,11
Kerala,Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:20,Premium,220₹,56,25
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:20,Club,159₹,184,21
TamilNadu,Coimbatore,InoxProzoneMallCoimbatore,Malayalam,09:20,Executive,63.73₹,25,4
Maharashtra,Kalyan,Sm5Kalyan,Malayalam,09:45,Platinum,130₹,111,41
Maharashtra,Kalyan,Sm5Kalyan,Malayalam,09:45,Gold,120₹,88,2
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,09:50,SofaSeat,275₹,21,0
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,09:50,Platinum,175₹,68,9
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,09:50,Gold,155₹,124,0
Kerala,Thiruvalla,AashirvadCineplexxKadappra,Malayalam,09:50,Silver,100₹,20,0
Kerala,Trivandrum,CinepolisMotTrivandrum,Malayalam,09:50,VipExecutive,350₹,18,2
Kerala,Trivandrum,CinepolisMotTrivandrum,Malayalam,09:50,VipPremium,400₹,18,4
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Normal,110₹,34,4
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Executive,140₹,70,18
Kerala,Kochi,CinepolisCentreSquareMallKochi,Malayalam,10:00,Premium,160₹,177,149
Karnataka,Bengaluru,BalajiCinema4KDolbyAtmosRgbLaserTavarekere,Malayalam,10:00,DiamondClass,150₹,296,3
Karnataka,Bengaluru,BalajiCinema4KDolbyAtmosRgbLaserTavarekere,Malayalam,10:00,GoldClass,120₹,442,0
Kerala,Kollam,JbCinemas4K3DNallila,Malayalam,10:00,Blue,129.83₹,242,3
Kerala,Angamaly,FourStarMoviesManjapraAngamaly,Malayalam,10:00,Platinum,170₹,15,0
