State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,09:30,Insignia,350₹,44,8
Assam,Guwahati,PvrCityCentreGuwahati,English,09:50,Classic,130₹,40,1
Assam,Guwahati,PvrCityCentreGuwahati,English,09:50,Prime,150₹,82,0
Assam,Guwahati,PvrCityCentreGuwahati,English,09:50,PrimePlus,200₹,13,0
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,English,10:00,Classic,200₹,120,120
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,English,10:00,Prime,230₹,15,15
Karnataka,Bengaluru,PvrGoldVegaCityBannerghattaRoad,English,10:00,Gold,300₹,24,1
Karnataka,Bengaluru,PvrGoldVegaCityBannerghattaRoad,English,10:00,GoldPrime,350₹,12,1
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMall,English,10:00,Normal,130₹,24,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMall,English,10:00,Executive,130₹,52,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMall,English,10:00,Premium,130₹,40,3
UttarPradesh,NationalCapitalRegionNcr,PvrAmbienceGurgaon,English,10:05,ClassicNormal,150₹,119,0
UttarPradesh,NationalCapitalRegionNcr,PvrAmbienceGurgaon,English,10:05,Prime,150₹,89,2
UttarPradesh,NationalCapitalRegionNcr,PvrMgfGurgaon,English,10:05,Classic,170₹,104,0
UttarPradesh,NationalCapitalRegionNcr,PvrMgfGurgaon,English,10:05,Prime,200₹,61,1
Karnataka,MangaluruMangalore,PvrForumFizaMallPandeshwar,English,10:20,Classic,150₹,79,8
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:40,Classic,112₹,139,4
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:40,Prime,140₹,10,2
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,10:40,Recliner,220₹,14,0
UttarPradesh,NationalCapitalRegionNcr,PvrEcxChanakyapuriDelhi,English,11:00,Classic,200₹,80,64
UttarPradesh,NationalCapitalRegionNcr,PvrEcxChanakyapuriDelhi,English,11:00,Prime,200₹,150,32
UttarPradesh,NationalCapitalRegionNcr,PvrEcxChanakyapuriDelhi,English,11:00,PrimePlus,250₹,41,16
Assam,Guwahati,PvrCityCentreGuwahati,English,13:00,Classic,160₹,40,1
Assam,Guwahati,PvrCityCentreGuwahati,English,13:00,Prime,180₹,82,0
Assam,Guwahati,PvrCityCentreGuwahati,English,13:00,PrimePlus,200₹,13,0
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,13:00,Insignia,420₹,75,5
Maharashtra,Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,English,13:05,Luxe,500₹,24,2
Maharashtra,Mumbai,MaisonPvrLivingRoomLuxeJioWorldDriveBkc,English,13:05,LuxeSuperior,500₹,10,3
UttarPradesh,NationalCapitalRegionNcr,GurugramPvrDirectorSCutAmbienceMall,English,13:10,Platinum,500₹,40,2
UttarPradesh,NationalCapitalRegionNcr,GurugramPvrDirectorSCutAmbienceMall,English,13:10,PlatinumSuperior,500₹,17,5
UttarPradesh,NationalCapitalRegionNcr,PvrLogixNoida,English,13:10,Classic,215₹,99,6
Haryana,Chandigarh,PvrElanteChandigarh,English,13:15,Classic,180₹,153,18
Haryana,Chandigarh,PvrElanteChandigarh,English,13:15,Recliner,550₹,13,0
UttarPradesh,NationalCapitalRegionNcr,PvrVegasDwarka,English,13:20,Classic,250₹,89,89
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,English,13:40,Classic,150₹,152,152
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,English,13:40,Recliner,250₹,14,14
UttarPradesh,NationalCapitalRegionNcr,PvrPacificDwarka,English,14:00,Classic,200₹,56,1
UttarPradesh,NationalCapitalRegionNcr,PvrPacificDwarka,English,14:00,Prime,230₹,25,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,15:20,Classic,150₹,128,1
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,15:20,Prime,170₹,100,2
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,15:20,Recliner,250₹,17,0
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,15:25,Insignia,500₹,44,8
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,English,15:55,Gold,400₹,24,4
Karnataka,Bengaluru,PvrGoldNexusFormerlyForumKoramangala,English,15:55,GoldPrime,450₹,8,2
Telangana,Hyderabad,PvrInorbitCyberabad,English,16:30,Classic,150₹,161,2
UttarPradesh,NationalCapitalRegionNcr,InoxArdeeMallGurugram,English,18:45,Insignia,650₹,30,5
TamilNadu,Chennai,LuxeCinemasChennai,English,18:45,Elite2D,211₹,144,12
TamilNadu,Chennai,LuxeCinemasChennai,English,18:45,Budget,66₹,16,0
Maharashtra,Pune,InoxBundGardenRoad,English,18:45,Royale,450₹,32,1
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,19:00,Insignia,700₹,75,15
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,19:20,RoyaleRecliners,350₹,13,11
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,19:20,Club,200₹,72,12
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,English,19:20,Executive,180₹,90,1
Karnataka,Bengaluru,PvrTheForumMallKoramangala,English,21:45,Classic,180₹,172,6
Karnataka,Bengaluru,CinepolisForumShantiniketanBengaluru,English,22:00,Normal,130₹,26,0
Karnataka,Bengaluru,CinepolisForumShantiniketanBengaluru,English,22:00,Executive,130₹,60,0
Karnataka,Bengaluru,CinepolisForumShantiniketanBengaluru,English,22:00,Premium,130₹,47,4
Karnataka,Bengaluru,CinepolisForumShantiniketanBengaluru,English,22:00,Vip,300₹,11,3
TamilNadu,Chennai,SpiEscapeExpressAvenueMallRoyapettah,English,22:10,Budget,66₹,12,12
TamilNadu,Chennai,SpiEscapeExpressAvenueMallRoyapettah,English,22:10,Elite,185₹,108,8
Assam,Guwahati,PvrCityCentreGuwahati,English,22:10,Classic,160₹,40,1
Assam,Guwahati,PvrCityCentreGuwahati,English,22:10,Prime,180₹,82,0
Assam,Guwahati,PvrCityCentreGuwahati,English,22:10,PrimePlus,200₹,13,0
Karnataka,MangaluruMangalore,PvrForumFizaMallPandeshwar,English,22:15,Classic,150₹,79,1
Karnataka,MysuruMysore,PvrForumCentreCityMallMysuru,English,22:20,Classic,150₹,134,134
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,22:30,RoyaleRecliners,400₹,16,8
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,22:30,Royale,190₹,80,13
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,22:30,Club,170₹,96,0
UttarPradesh,Lucknow,InoxPhoenixPalassioMallLucknow,English,22:30,Executive,130₹,32,0
Maharashtra,Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,English,22:40,Prime,800₹,20,0
Maharashtra,Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,English,22:40,PrimePlus,800₹,42,2
Haryana,Chandigarh,PvrElanteChandigarh,English,22:45,Classic,180₹,153,18
Haryana,Chandigarh,PvrElanteChandigarh,English,22:45,Recliner,550₹,13,0
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,English,22:50,Classic,150₹,156,156
Telangana,Hyderabad,PvrAtriumGachibowliHyderabad,English,22:50,Recliner,250₹,16,16
UttarPradesh,NationalCapitalRegionNcr,PvrSelectCityWalkDelhi,English,23:00,ClassicNormal,150₹,120,0
