State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Maharashtra,NaviMumbai,InoxPalmBeachGalleriaMallNaviMumbai,English,09:00,Insignia,240₹,40,5
Ncr,GurugramGurgaon,PvrMgfGurgaon,English,10:05,Classic,390₹,96,12
Ncr,Delhi,PvrVegasDwarka,English,11:00,Recliner,300₹,8,0
Ncr,Delhi,PvrVegasDwarka,English,11:00,Prime,250₹,21,9
Ncr,Delhi,PvrVegasDwarka,English,11:00,Classic,250₹,36,0
Ncr,GurugramGurgaon,CinepolisAiriaMallSohnaRoadGurgaon,English,15:20,Normal,220₹,30,2
Ncr,GurugramGurgaon,CinepolisAiriaMallSohnaRoadGurgaon,English,15:20,DoubleSofa,260₹,24,7
Ncr,GurugramGurgaon,CinepolisAiriaMallSohnaRoadGurgaon,English,15:20,Lounger,240₹,8,0
Telangana,Hyderabad,PvrNextGalleriaMallPanjagutta,English,19:20,Classic,149₹,54,20
Ncr,Noida,PvrSuperplexLogixNoida,English,20:30,Classic,240₹,49,11
