State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Gujarat,Bhavnagar,MaxusCinemasBhavnagar,Hindi,07:15,Sofa,112₹,35,0
Gujarat,Bhavnagar,MaxusCinemasBhavnagar,Hindi,07:15,PremierPlus,99₹,258,0
Gujarat,Bhavnagar,MaxusCinemasBhavnagar,Hindi,07:15,Premium,99₹,42,0
Gujarat,Gandhinagar,WhiteScreenCinemaFive11Gandhinagar,Hindi,08:00,ReclinerSofa,220₹,22,1
Gujarat,Gandhinagar,WhiteScreenCinemaFive11Gandhinagar,Hindi,08:00,CoupleBed2Person,170₹,12,0
Gujarat,Gandhinagar,WhiteScreenCinemaFive11Gandhinagar,Hindi,08:00,FirstLounge2Person,150₹,6,1
Gujarat,Gandhinagar,WhiteScreenCinemaFive11Gandhinagar,Hindi,08:00,PremiumSofa,99₹,48,1
Gujarat,Rajkot,ConnplexSmartTheatreRajkot,Hindi,08:15,CoupleSeat,200₹,50,10
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,08:20,RoyalSofa,200₹,11,0
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,08:20,Club,150₹,104,14
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,08:20,Lounger,150₹,9,0
Gujarat,Ahmedabad,2NewfangledMiniplexMoteraAhmedabad,Hindi,08:30,CoupleSeat,300₹,29,7
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:30,Sofa,112₹,44,1
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:30,PremiumPlus,99₹,148,2
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:30,Premium,99₹,52,0
Maharashtra,Mumbai,MaxusCinemasBhayander,Hindi,08:30,Lounger,99₹,11,0
Gujarat,Ahmedabad,ConnplexSmartTheatreManinagarAhmedabad,Hindi,08:30,TwoSeats1For2Admit,500₹,10,0
Gujarat,Ahmedabad,SbMultiplexAgoraMall,Hindi,08:45,Elite,180₹,34,0
Gujarat,Ahmedabad,SbMultiplexAgoraMall,Hindi,08:45,Classic,80₹,160,0
Gujarat,Ahmedabad,SbMultiplexAgoraMall,Hindi,08:45,Standard,80₹,32,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Recliner,170₹,53,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Sofa,150₹,18,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Prime,130₹,97,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Executive,110₹,131,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Gold,100₹,143,0
Maharashtra,Nashik,DivyaCinemasNashik,Hindi,08:45,Silver,90₹,50,0
Gujarat,Ahmedabad,ConnplexLuxurianceVaishnodevi,Hindi,08:50,CoupleLoungers,150₹,72,0
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,08:50,Normal,100₹,110,0
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,08:50,Executive,100₹,119,5
Gujarat,Ahmedabad,CityGoldSatelliteAhmedabad,Hindi,09:00,Executive,150₹,124,26
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:00,Normal,160₹,66,2
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:00,Executive,180₹,97,4
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:00,Premium,200₹,80,14
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:00,Vip,300₹,14,8
Maharashtra,Thane,CinepolisVivianaMallThane,Hindi,09:00,Normal,170₹,31,0
Maharashtra,Thane,CinepolisVivianaMallThane,Hindi,09:00,Executive,170₹,104,2
Maharashtra,Thane,CinepolisVivianaMallThane,Hindi,09:00,Premium,170₹,52,5
Gujarat,Mehsana,ConnplexSmartTheatreDMartCircleMehsana,Hindi,09:00,MillerPlus,149₹,46,0
Gujarat,Mehsana,ConnplexSmartTheatreDMartCircleMehsana,Hindi,09:00,Miller,149₹,20,0
Gujarat,Mehsana,ConnplexSmartTheatreDMartCircleMehsana,Hindi,09:00,Lounger,149₹,10,0
Rajasthan,Banswara,MuktaA2CinemasNakshatraMallBanswara,Hindi,09:00,Gold,110₹,29,0
Rajasthan,Banswara,MuktaA2CinemasNakshatraMallBanswara,Hindi,09:00,Premium,110₹,129,8
Punjab,Pathankot,MirajCinemasCityCentreMallPathankot,Hindi,09:00,Silver,100₹,64,0
Punjab,Pathankot,MirajCinemasCityCentreMallPathankot,Hindi,09:00,Gold,200₹,12,0
Gujarat,Ahmedabad,MuktaA2CinemasRatnanjaliSquareSatellite,Hindi,09:00,PremiumRecliner,150₹,56,0
Maharashtra,Mumbai,MirajCinemasRMallMulund,Hindi,09:00,Silver,130₹,37,0
Maharashtra,Mumbai,MirajCinemasRMallMulund,Hindi,09:00,Gold,140₹,190,0
Maharashtra,Mumbai,MirajCinemasRMallMulund,Hindi,09:00,PlatinumRecliner,220₹,13,0
Gujarat,Ahmedabad,AppleMultiplexGotaAhmedabad,Hindi,09:00,VipRecliner,300₹,45,1
Ncr,Delhi,MirajCinemasSubhashNagar,Hindi,09:00,Silver,160₹,44,44
Ncr,Delhi,MirajCinemasSubhashNagar,Hindi,09:00,Club,160₹,230,63
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,09:00,Club,112₹,72,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,09:00,Executive,112₹,24,0
UttarPradesh,Lucknow,InoxGardensGalleriaMallRaebareliRoad,Hindi,09:00,Royal,112₹,48,10
Gujarat,Vadodara,CinemarcNewVipRoad,Hindi,09:00,Gold,80₹,37,2
Gujarat,Vadodara,CinemarcNewVipRoad,Hindi,09:00,Silver,80₹,158,0
Gujarat,Vadodara,CinemarcNewVipRoad,Hindi,09:00,Premium,70₹,46,0
Gujarat,Vadodara,CinemarcNewVipRoad,Hindi,09:00,Sofa,100₹,35,0
Ncr,Delhi,PvrVikaspuriDelhi,Hindi,09:00,Prime,160₹,46,0
Ncr,Delhi,PvrVikaspuriDelhi,Hindi,09:00,ClassicPlus,150₹,140,0
Ncr,Delhi,PvrVikaspuriDelhi,Hindi,09:00,Classic,130₹,59,3
Punjab,Dhuri,MirajCinemasDhuri,Hindi,09:00,Special,150₹,39,0
Punjab,Dhuri,MirajCinemasDhuri,Hindi,09:00,Executive,150₹,181,0
Maharashtra,Mumbai,MuktaA2CinemasJaiHindLalbaugh,Hindi,09:00,Executive,112₹,140,7
Maharashtra,Mumbai,MuktaA2CinemasJaiHindLalbaugh,Hindi,09:00,Gold,112₹,35,15
Odisha,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Hindi,09:00,MotorizedSlider,150₹,97,8
Odisha,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Hindi,09:00,SuperDelux,130₹,203,21
Odisha,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Hindi,09:00,Recliner,200₹,60,5
Odisha,Bhubaneswar,MaharajaChristie4KDolbyAtmos64Channel,Hindi,09:00,Slider,100₹,180,3
Maharashtra,Mumbai,MovieMaxHumaKanjurmarg,Hindi,09:00,Recliner,250₹,14,0
Maharashtra,Mumbai,MovieMaxHumaKanjurmarg,Hindi,09:00,Platinum,130₹,76,0
Maharashtra,Mumbai,MovieMaxHumaKanjurmarg,Hindi,09:00,Gold,120₹,80,0
Maharashtra,Mumbai,MovieMaxHumaKanjurmarg,Hindi,09:00,Silver,110₹,80,0
Gujarat,Anand,InfinityCinemasAnand,Hindi,09:00,Recliner,250₹,19,0
Gujarat,Anand,InfinityCinemasAnand,Hindi,09:00,Platinum,150₹,50,0
Gujarat,Anand,InfinityCinemasAnand,Hindi,09:00,Gold,110₹,60,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,Hindi,09:00,Normal,110₹,32,0
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,Hindi,09:00,Executive,130₹,96,1
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,Hindi,09:00,Premium,130₹,50,9
Maharashtra,Mumbai,CinepolisFunRepublicMallAndheriW,Hindi,09:00,Platinum,250₹,22,1
Maharashtra,Kalyan,Sm5Kalyan,Hindi,09:00,Platinum,100₹,129,27
Maharashtra,Kalyan,Sm5Kalyan,Hindi,09:00,Gold,100₹,120,0
Gujarat,Surat,InoxVrMallSurat,Hindi,09:00,RoyalRecliner,240₹,20,6
Gujarat,Surat,InoxVrMallSurat,Hindi,09:00,Royal,150₹,66,8
Gujarat,Surat,InoxVrMallSurat,Hindi,09:00,Club,130₹,177,0
Gujarat,Surat,InoxVrMallSurat,Hindi,09:00,Executive,130₹,38,0
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,09:00,RoyalRecliner,250₹,11,0
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,09:00,RoyalSofa,200₹,66,11
Gujarat,Surat,RoongtaCinemasShyamMandirVesuSurat,Hindi,09:00,Lounger,180₹,9,0
Gujarat,Surat,CinezzaMultiplexSurat,Hindi,09:00,RoyalSofa,150₹,47,0
Gujarat,Surat,CinezzaMultiplexSurat,Hindi,09:00,Executive,110₹,330,6
Maharashtra,Pune,CinepolisVipSeasonsMallPune,Hindi,09:00,VipExecutive,350₹,20,0
Maharashtra,Pune,CinepolisVipSeasonsMallPune,Hindi,09:00,VipPremium,400₹,53,4
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,09:00,Vip,350₹,14,1
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,09:00,Platinum,300₹,60,0
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,09:00,Gold,250₹,76,0
Gujarat,Mundra,AradhayaNovaCinemazMundra,Hindi,09:00,Silver,200₹,76,0
Maharashtra,Pune,CityPrideSataraRoad,Hindi,09:00,RoyalGold,140₹,194,37
Maharashtra,Pune,CityPrideSataraRoad,Hindi,09:00,RoyalSilver,110₹,40,0
Maharashtra,Pune,CinepolisSeasonsMallPune,Hindi,09:00,Normal,130₹,23,0
Maharashtra,Pune,CinepolisSeasonsMallPune,Hindi,09:00,Executive,130₹,68,0
Maharashtra,Pune,CinepolisSeasonsMallPune,Hindi,09:00,Premium,130₹,40,3
Gujarat,Surat,BajrangCinemaSurat,Hindi,09:00,Platinum,200₹,24,0
Gujarat,Surat,BajrangCinemaSurat,Hindi,09:00,Gold,180₹,44,0
Gujarat,Surat,BajrangCinemaSurat,Hindi,09:00,Silver,150₹,84,0
Maharashtra,Mumbai,KMovieStarMultiplexVasaiW,Hindi,09:00,Recliners,500₹,15,0
Maharashtra,Mumbai,KMovieStarMultiplexVasaiW,Hindi,09:00,Platinum,140₹,112,0
Maharashtra,Mumbai,KMovieStarMultiplexVasaiW,Hindi,09:00,Gold,120₹,84,0
Gujarat,Surat,MovieAngleMultiplexSurat,Hindi,09:00,Gold,100₹,146,0
Maharashtra,Pune,CityPrideKothrud,Hindi,09:00,RoyalGold,150₹,149,10
Maharashtra,Pune,CityPrideKothrud,Hindi,09:00,RoyalSilver,150₹,22,0
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,09:00,Normal,100₹,108,0
MadhyaPradesh,Gwalior,FunCinemasDdCityMallGwalior,Hindi,09:00,Executive,100₹,200,0
Maharashtra,Mumbai,NyCinemasMulund,Hindi,09:00,Classic,130₹,133,0
Maharashtra,Mumbai,NyCinemasMulund,Hindi,09:00,Premier,130₹,7,0
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,09:00,Imperial,290₹,15,6
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,09:00,Platinum,150₹,66,19
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,09:00,Gold,100₹,127,15
Gujarat,Surat,RajImperialInoxVarachhaRoadSurat,Hindi,09:00,Silver,80₹,36,0
Gujarat,Ahmedabad,PSquareMovieplexGotaAhmedabad,Hindi,09:00,Platinum,200₹,15,0
Gujarat,Ahmedabad,PSquareMovieplexGotaAhmedabad,Hindi,09:00,Gold,180₹,60,0
Gujarat,Ahmedabad,PSquareMovieplexGotaAhmedabad,Hindi,09:00,Silver,150₹,48,0
Gujarat,Gandhinagar,ConnplexSignatureGandhinagar,Hindi,09:00,Millers,150₹,64,0
Gujarat,Gandhinagar,ConnplexSignatureGandhinagar,Hindi,09:00,CoupleLoungers,150₹,12,0
Gujarat,Vadodara,CinemarcAkotaVadodara,Hindi,09:00,Silver,70₹,87,0
Gujarat,Vadodara,CinemarcAkotaVadodara,Hindi,09:00,Premier,70₹,12,0
Gujarat,Vadodara,CinemarcAkotaVadodara,Hindi,09:00,Sofa,80₹,25,7
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:00,Normal,160₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:00,Executive,180₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisJamshedpur,Hindi,09:00,Premium,200₹,68,0
Gujarat,Surat,AppleCinemaJahangirpuraSurat,Hindi,09:00,Platinum,130₹,101,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Hindi,09:00,Normal,130₹,116,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Hindi,09:00,Executive,130₹,108,0
Maharashtra,Mumbai,FunCinemasKStarMallChembur,Hindi,09:00,Premium,130₹,38,4
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,09:00,Recliner,250₹,11,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,09:00,PrimeSuperior,150₹,32,2
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,09:00,Prime,150₹,126,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,Hindi,09:00,Classic,140₹,42,0
Rajasthan,Jodhpur,MirajCinemasBlueCityMallJodhpur,Hindi,09:00,Premium,99₹,51,0
Rajasthan,Jodhpur,MirajCinemasBlueCityMallJodhpur,Hindi,09:00,Club,99₹,210,2
Maharashtra,Mumbai,MovieMaxSion,Hindi,09:00,Classic,150₹,46,0
Maharashtra,Mumbai,MovieMaxSion,Hindi,09:00,Prime,150₹,169,6
Maharashtra,Mumbai,MovieMaxSion,Hindi,09:00,PrimePlus,250₹,12,0
Odisha,Bhubaneswar,InoxSymphonyMall,Hindi,09:05,Club,130₹,69,7
Odisha,Bhubaneswar,InoxSymphonyMall,Hindi,09:05,Executive,130₹,20,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,09:05,CoupleSofa,200₹,18,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,09:05,Sofa,130₹,50,0
Gujarat,Ahmedabad,TheCinestarMiniplexBhatCircleSpRingRoad,Hindi,09:05,Lounger,130₹,10,0
Ncr,Delhi,FunCinemasTdiMallMotiNagar,Hindi,09:05,Normal,100₹,26,2
Ncr,Delhi,FunCinemasTdiMallMotiNagar,Hindi,09:05,Executive,100₹,103,5
Gujarat,Vadodara,CinemarcViharPratapnagar,Hindi,09:10,Sofa,89₹,19,0
Gujarat,Vadodara,CinemarcViharPratapnagar,Hindi,09:10,Executive,89₹,108,0
Gujarat,Vadodara,CinemarcViharPratapnagar,Hindi,09:10,Silver,89₹,108,0
Gujarat,Vadodara,CinemarcViharPratapnagar,Hindi,09:10,Premier,89₹,30,0
Gujarat,Ahmedabad,ConnplexSmartTheatreSouthBopalAhmedabad,Hindi,09:10,Milar,150₹,62,0
Gujarat,Ahmedabad,ConnplexSmartTheatreSouthBopalAhmedabad,Hindi,09:10,Lounger,150₹,10,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Hindi,09:10,Silver,110₹,34,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteMagadiRoad,Hindi,09:10,Gold,110₹,145,0
Maharashtra,Pune,MirajCinemasSpineCityMallPune,Hindi,09:10,Silver,120₹,48,0
Maharashtra,Pune,MirajCinemasSpineCityMallPune,Hindi,09:10,Gold,120₹,113,0
Maharashtra,Pune,MirajCinemasSpineCityMallPune,Hindi,09:10,ClubSofa,170₹,18,0
Gujarat,Ahmedabad,MirajCityPulseAhmedabad,Hindi,09:15,Silver,112₹,126,0
Gujarat,Ahmedabad,MirajCityPulseAhmedabad,Hindi,09:15,Gold,112₹,178,30
Goa,Margao,InoxOsiaAWingMargaoGoa,Hindi,09:15,RoyalRecliner,190₹,29,4
Goa,Margao,InoxOsiaAWingMargaoGoa,Hindi,09:15,Club,130₹,46,0
Goa,Margao,InoxOsiaAWingMargaoGoa,Hindi,09:15,Executive,130₹,29,0
Goa,Margao,InoxOsiaAWingMargaoGoa,Hindi,09:15,Royal,130₹,50,6
Ncr,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:15,PrimePlus,140₹,27,0
Ncr,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:15,Prime,130₹,154,13
Ncr,Faridabad,PvrCrownPlazaFaridabad,Hindi,09:15,Classic,112₹,26,0
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Hindi,09:15,Prime,120₹,143,2
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,Hindi,09:15,Classic,100₹,80,1
MadhyaPradesh,Indore,MangalMultiplexIndore,Hindi,09:15,Platinum,100₹,12,0
MadhyaPradesh,Indore,MangalMultiplexIndore,Hindi,09:15,Gold,100₹,104,15
MadhyaPradesh,Indore,MangalMultiplexIndore,Hindi,09:15,Silver,100₹,26,0
Ncr,Ghaziabad,MirajCinemasAnsalPlazaGhaziabad,Hindi,09:15,Executive,110₹,189,0
Ncr,Ghaziabad,MirajCinemasAnsalPlazaGhaziabad,Hindi,09:15,Gold,130₹,132,0
Ncr,Ghaziabad,MirajCinemasAnsalPlazaGhaziabad,Hindi,09:15,Sofa,180₹,44,0
Haryana,Yamunanagar,PvrCityMallYamunanagar,Hindi,09:15,Recliner,450₹,12,0
Haryana,Yamunanagar,PvrCityMallYamunanagar,Hindi,09:15,Prime,190₹,80,20
Haryana,Yamunanagar,PvrCityMallYamunanagar,Hindi,09:15,Classic,160₹,72,3
Maharashtra,Mumbai,MirajAnupamCinemasGoregaonE,Hindi,09:15,Executive,110₹,28,2
Maharashtra,Mumbai,MirajAnupamCinemasGoregaonE,Hindi,09:15,Gold,110₹,217,3
Ncr,Delhi,CinepolisV3SEastCentreNew,Hindi,09:15,Normal,180₹,30,2
Ncr,Delhi,CinepolisV3SEastCentreNew,Hindi,09:15,Executive,200₹,100,0
Ncr,Delhi,CinepolisV3SEastCentreNew,Hindi,09:15,Premium,220₹,72,0
Ncr,Delhi,CinepolisV3SEastCentreNew,Hindi,09:15,Vip,350₹,13,0
MadhyaPradesh,Indore,VelocityIiiMirajCinemasIndore,Hindi,09:15,Platinum,100₹,56,0
MadhyaPradesh,Indore,VelocityIiiMirajCinemasIndore,Hindi,09:15,SuperPlatinum,100₹,340,0
MadhyaPradesh,Indore,VelocityIiiMirajCinemasIndore,Hindi,09:15,Club,100₹,116,0
Gujarat,Anand,AjayDevgnSNyCinemasGalleriaMallAnand,Hindi,09:15,Recliner,200₹,36,0
Gujarat,Anand,AjayDevgnSNyCinemasGalleriaMallAnand,Hindi,09:15,Prime,100₹,150,0
Gujarat,Anand,AjayDevgnSNyCinemasGalleriaMallAnand,Hindi,09:15,Classic,100₹,45,0
Odisha,Sambalpur,EylexCinemasCityCenterMall,Hindi,09:15,Gold,100₹,54,2
Odisha,Sambalpur,EylexCinemasCityCenterMall,Hindi,09:15,Platinum,100₹,134,12
Odisha,Sambalpur,EylexCinemasCityCenterMall,Hindi,09:15,Silver,100₹,28,0
Haryana,Hisar,MirajCinemasHisar,Hindi,09:15,Executive,160₹,82,4
Maharashtra,Mumbai,InoxNeelyogGhatkoparE,Hindi,09:15,Executive,100₹,38,0
Maharashtra,Mumbai,InoxNeelyogGhatkoparE,Hindi,09:15,Premier,100₹,152,6
Maharashtra,Mumbai,InoxNeelyogGhatkoparE,Hindi,09:15,Silver,100₹,155,18
MadhyaPradesh,Ratlam,NyCinemasAnandBigMallRatlam,Hindi,09:15,Premium,110₹,136,0
MadhyaPradesh,Ratlam,NyCinemasAnandBigMallRatlam,Hindi,09:15,Executive,110₹,64,0
MadhyaPradesh,Ratlam,NyCinemasAnandBigMallRatlam,Hindi,09:15,Ebony,200₹,26,0
Ncr,Delhi,InoxErosOneJangpuraExtn,Hindi,09:15,Insignia,280₹,23,1
Ncr,Delhi,InoxErosOneJangpuraExtn,Hindi,09:15,Premium,180₹,294,21
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:15,Executive,110₹,71,11
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:15,Marvel,90₹,26,1
Gujarat,Ahmedabad,RajhansCinemasSatadhar,Hindi,09:15,Box,110₹,5,5
Haryana,Panipat,FunCinemasMittalMegaMallPanipat,Hindi,09:15,Normal,130₹,72,0
Haryana,Panipat,FunCinemasMittalMegaMallPanipat,Hindi,09:15,Executive,130₹,178,0
Ncr,Faridabad,PvrPiyushMahendraFaridabad,Hindi,09:15,Classic,112₹,30,0
Ncr,Faridabad,PvrPiyushMahendraFaridabad,Hindi,09:15,ClassicPlus,112₹,114,20
Ncr,Faridabad,PvrPiyushMahendraFaridabad,Hindi,09:15,Prime,112₹,43,0
MadhyaPradesh,Bhopal,PvrAuraMallBhopal,Hindi,09:20,Recliner,240₹,11,0
