State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Assam,Bijoynagar,PvrCityCentreGuwahati,Japanese,09:00,Classic,150₹,40,1
Assam,Bijoynagar,PvrCityCentreGuwahati,Japanese,09:00,Prime,150₹,82,20
Assam,Bijoynagar,PvrCityCentreGuwahati,Japanese,09:00,PrimePlus,150₹,13,7
Gujarat,Surat,PvrRahulRajSurat,Japanese,09:00,Classic,150₹,26,0
Gujarat,Surat,PvrRahulRajSurat,Japanese,09:00,ClassicPlus,150₹,12,0
Gujarat,Surat,PvrRahulRajSurat,Japanese,09:00,Prime,150₹,111,3
Gujarat,Surat,PvrRahulRajSurat,Japanese,09:00,Recliner,250₹,20,2
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Japanese,09:00,Royale,250₹,5,2
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Japanese,09:00,Club,150₹,119,28
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Japanese,09:00,Executive,150₹,21,0
Maharashtra,Mumbai,PvrIconOberoiMallGoregaonE,Japanese,09:00,Classic,150₹,45,1
Maharashtra,Mumbai,PvrIconOberoiMallGoregaonE,Japanese,09:00,Prime,150₹,147,29
Maharashtra,Mumbai,PvrIconOberoiMallGoregaonE,Japanese,09:00,Recliner,250₹,34,6
Maharashtra,Nagpur,PvrEmpressNagpur,Japanese,09:15,Classic,170₹,28,12
Maharashtra,Nagpur,PvrEmpressNagpur,Japanese,09:15,Prime,180₹,84,52
Maharashtra,Nagpur,PvrEmpressNagpur,Japanese,09:15,PrimePlus,180₹,110,107
Maharashtra,Mumbai,PvrDynamixJuhu,Japanese,09:15,Lounger,150₹,12,1
Maharashtra,Mumbai,PvrDynamixJuhu,Japanese,09:15,Prime,150₹,264,36
Rajasthan,Jaipur,PvrMallOfJaipur,Japanese,09:20,Classic,150₹,20,0
Rajasthan,Jaipur,PvrMallOfJaipur,Japanese,09:20,Prime,150₹,43,14
Rajasthan,Jaipur,PvrMallOfJaipur,Japanese,09:20,PrimePlus,150₹,26,26
Rajasthan,Jaipur,PvrMallOfJaipur,Japanese,09:20,Recliner,250₹,8,7
Maharashtra,Mumbai,MetroInoxCinemasMarineLines,Japanese,09:45,Kiddles,150₹,45,9
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Japanese,10:00,Classic,150₹,36,2
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Japanese,10:00,Prime,180₹,180,15
Maharashtra,Mumbai,PvrTheCapitalMallNalasoparaE,Japanese,10:00,Recliner,320₹,13,6
Maharashtra,Mumbai,PvrCitiMallAndheriW,Japanese,10:00,Classic,150₹,46,0
Maharashtra,Mumbai,PvrCitiMallAndheriW,Japanese,10:00,Prime,150₹,146,39
